fps,frametime,elapsed
32.8168,30.4722,1120696897656
36.0072,27.7722,1120797252881
37.4831,26.6787,1120897366142
34.3343,29.1254,1120997476327
32.0268,31.2238,1121097612251
34.2249,29.2185,1121197740169
36.0097,27.7703,1121297839614
37.6394,26.5679,1121397955791
35.5185,28.1543,1121498069362
37.2456,26.8488,1121598194696
24.8643,40.2183,1121698300834
41.1836,24.2815,1121798407813
37.7628,26.4811,1121898516936
37.11,26.9469,1121998618936
38.1248,26.2297,1122098728680
34.282,29.1698,1122198846400
36.6763,27.2656,1122298982183
36.3846,27.4842,1122399093641
35.5826,28.1036,1122499221088
34.4399,29.0361,1122599365748
35.7013,28.0102,1122699475252
42.4442,23.5603,1122799588783
37.7233,26.5088,1122899690673
39.289,25.4524,1122999795578
39.1968,25.5123,1123099897248
36.1926,27.63,1123199962479
37.1547,26.9145,1123300062405
40.1392,24.9133,1123400134839
33.6945,29.6784,1123500248310
33.3232,30.0091,1123600340322
35.7975,27.9349,1123700434918
40.1674,24.8958,1123801398393
41.4568,24.1215,1123901512736
45.336,22.0575,1124001629534
40.1436,24.9106,1124101733447
33.2163,30.1057,1124202936182
39.1878,25.5182,1124303041949
39.6338,25.231,1124403137998
34.2118,29.2297,1124503241170
38.0978,26.2482,1124603333311
37.3622,26.765,1124703457984
41.2923,24.2176,1124803556327
36.8599,27.1298,1124903655792
35.8259,27.9128,1125003750728
34.358,29.1053,1125103848841
38.4772,25.9894,1125203944499
40.6732,24.5862,1125304330381
35.5352,28.1411,1125404434726
26.8478,37.247,1125504540112
41.5935,24.0422,1125604643965
34.5048,28.9815,1125704741827
41.0023,24.3889,1125804836343
38.7229,25.8245,1125904928044
35.1009,28.4893,1126005029292
33.8219,29.5666,1126105140149
40.0696,24.9566,1126205243080
36.9596,27.0565,1126305337065
36.0864,27.7113,1126405572114
37.1421,26.9236,1126505671149
39.3526,25.4113,1126605786263
39.1302,25.5557,1126705889315
37.1841,26.8932,1126805985714
40.0673,24.958,1126906084609
35.9584,27.8099,1127006194824
38.1121,26.2384,1127106297505
39.1187,25.5632,1127206403152
37.5154,26.6557,1127306502026
36.3273,27.5275,1127406603505
36.7108,27.2399,1127506712177
39.7432,25.1615,1127606817192
41.4594,24.12,1127706990416
41.5106,24.0902,1127807102825
38.8691,25.7273,1127907230884
40.1308,24.9185,1128007333675
37.3022,26.8081,1128107764482
35.2327,28.3827,1128207867474
43.9618,22.747,1128307970095
35.48,28.1849,1128408140313
36.6134,27.3124,1128508294160
39.7847,25.1353,1128608804556
30.609,32.6701,1128708924660
35.5063,28.164,1128809033112
35.8061,27.9282,1128909166971
37.6271,26.5766,1129009307854
39.9121,25.0551,1129109545548
32.3246,30.9362,1129209660112
38.654,25.8705,1129309780296
36.2764,27.5661,1129409878949
34.1113,29.3158,1129509984296
40.5961,24.6329,1129610109068
55.35,18.0669,1129710379514
64.6389,15.4706,1129810505629
62.3363,16.042,1129910668193
52.264,19.1336,1130011157459
58.5306,17.0851,1130111282262
53.4302,18.716,1130211396675
46.5083,21.5015,1130311556333
61.8794,16.1605,1130411711512
60.6588,16.4857,1130511837317
55.5478,18.0025,1130611975234
47.294,21.1443,1130712162774
57.7816,17.3065,1130812271858
57.0151,17.5392,1130912389427
56.3132,17.7578,1131012503980
57.4244,17.4142,1131112726887
58.9756,16.9562,1131212848904
58.0489,17.2269,1131312954811
41.2735,24.2286,1131413068383
59.9198,16.689,1131513167598
59.9499,16.6806,1131613293182
52.6852,18.9806,1131713390112
59.5479,16.7932,1131813522739
60.0452,16.6541,1131913631171
